state,visited
Alabama,6
Alaska,9
Arkansas,7
Arizona,10
California,9
Colorado,8
Connecticut,0
Delaware,5
Florida,5
Georgia,5
Hawaii,9
Iowa,4
Idaho,8
Illinois,2
Indiana,2
Kansas,4
Kentucky,6
Louisiana,7
Maine,0
Maryland,5
Massachusetts,0
Michigan,2
Minnesota,4
Missouri,4
Mississippi,6
Montana,8
North Carolina,5
North Dakota,4
Nebraska,4
New Hampshire,0
New Jersey,1
New Mexico,10
Nevada,8
New York,1
Ohio,2
Oklahoma,7
Oregon,9
Pennsylvania,1
Rhode Island,0
South Carolina,5
South Dakota,4
Tennessee,6
Texas,7
Utah,8
Virginia,5
Vermont,0
Washington,9
Wisconsin,2
West Virginia,5
Wyoming,8
